UniProt_ID	Gene_Name	Protein_Name	Subcellular_Location	Domain_Information
Q8NHV1	GIMAP7	GTPase IMAP family member 7 (Immunity-associated nucleotide 7 protein) (IAN-7)	SUBCELLULAR LOCATION: Lipid droplet {ECO:0000269|PubMed:23454188}. Cytoplasm {ECO:0000269|PubMed:23454188}. Endoplasmic reticulum {ECO:0000269|PubMed:15474311}. Golgi apparatus {ECO:0000269|PubMed:15474311}. Note=Colocalizes with GIMAP2 on the surface of cytoplasmic lipid droplets.	
Q8TA86	RP9	Retinitis pigmentosa 9 protein (Pim-1-associated protein) (PAP-1)	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.	
Q8TAC9	SCAMP5	Secretory carrier-associated membrane protein 5 (Secretory carrier membrane protein 5) (hSCAMP5)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein. Golgi apparatus membrane; Multi-pass membrane protein. Golgi apparatus, trans-Golgi network membrane; Multi-pass membrane protein. Recycling endosome membrane; Multi-pass membrane protein. Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Note=Mainly localizes in Golgi apparatus membrane. Upon calcium-triggered exocytosis, it translocates to the cell membrane. Highly enriched in synaptic vesicles (By similarity). {ECO:0000250}.	
Q8TAD8	SNIP1	Smad nuclear-interacting protein 1 (FHA domain-containing protein SNIP1)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10887155, ECO:0000269|PubMed:29360106}.	
Q8TAF3	WDR48	WD repeat-containing protein 48 (USP1-associated factor 1) (WD repeat endosomal protein) (p80)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:18032488}. Cytoplasm {ECO:0000269|PubMed:12196293, ECO:0000269|PubMed:18032488}. Lysosome {ECO:0000269|PubMed:12196293}. Late endosome {ECO:0000269|PubMed:12196293}. Note=Mainly in cytoplasmic compartments (PubMed:12196293, PubMed:18032488). In case of infection by papillomavirus HPV11, translocates to the nucleus via its interaction with papillomavirus HPV11 (PubMed:18032488). {ECO:0000269|PubMed:12196293, ECO:0000269|PubMed:18032488}.	DOMAIN: N-terminal WD region interacts with TIP and C-terminal region mediates lysosomal localization (Probable). The WD repeats are required for the interaction with deubiquitinating enzymes USP1, USP12 and USP46. {ECO:0000269|PubMed:26388029, ECO:0000305}.
Q8TAP9	MPLKIP	M-phase-specific PLK1-interacting protein (TTD non-photosensitive 1 protein)	SUBCELLULAR LOCATION: Nucleus. Cytoplasm. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome. Note=The subcellular location is regulated during cell cycle. During interphase located in the nucleus. During mitosis located at the centrosome and dispersed in the cytoplasm. During telophase located in the midbody. Colocalizes with PLK1 at the centrosome in M phase.	
Q8TB37	NUBPL	Iron-sulfur cluster transfer protein NUBPL (IND1 homolog) (Nucleotide-binding protein-like) (huInd1)	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:19752196}.	
Q8TBJ5	FEZF2	Fez family zinc finger protein 2 (Forebrain embryonic zinc finger-like protein 2) (Zinc finger protein 312) (Zinc finger protein Fez-like)	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.	
Q8TBZ6	TRMT10A	tRNA methyltransferase 10 homolog A (EC 2.1.1.221) (RNA (guanine-9-)-methyltransferase domain-containing protein 2) (tRNA (guanine(9)-N(1))-methyltransferase TRMT10A)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:24204302}. Nucleus, nucleolus {ECO:0000269|PubMed:24204302}.	
Q8TC12	RDH11	Retinol dehydrogenase 11 (EC 1.1.1.300) (Androgen-regulated short-chain dehydrogenase/reductase 1) (HCV core-binding protein HCBP12) (Prostate short-chain dehydrogenase/reductase 1) (Retinal reductase 1) (RalR1) (Short chain dehydrogenase/reductase family 7C member 1)	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:12036956}; Single-pass type II membrane protein {ECO:0000269|PubMed:12036956}.	
Q8TC36	SUN5	SUN domain-containing protein 5 (Sad1 and UNC84 domain-containing protein 5) (Sperm-associated antigen 4-like protein) (Testis and spermatogenesis-related gene 4 protein)	SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000305|PubMed:27640305}; Single-pass membrane protein {ECO:0000250|UniProtKB:Q9DA32}. Golgi apparatus {ECO:0000250|UniProtKB:Q9DA32}. Note=During spermiogenesis, traffics through the Golgi apparatus before reaching the round spermatid inner membrane of the nuclear envelope and later migrates to the coupling apparatus of the sperm during sperm head elongation and differentiation. In mature spermatozoa, is localized to the coupling apparatus of the sperm head and tail in the implementation fossa. {ECO:0000305|PubMed:27640305}.	
Q8TC44	POC1B	POC1 centriolar protein homolog B (Pix1) (Proteome of centriole protein 1B) (WD repeat-containing protein 51B)	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:14654843}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole {ECO:0000269|PubMed:19109428, ECO:0000269|PubMed:23015594, ECO:0000269|PubMed:32060285, ECO:0000269|PubMed:32110738, ECO:0000269|PubMed:32946374, ECO:0000269|PubMed:37934472}. Cytoplasm, cytoskeleton, cilium basal body {ECO:0000269|PubMed:20008567}. Cytoplasm, cytoskeleton, spindle pole. Note=Component of both mother and daughter centrioles (PubMed:32060285). Localizes to the basal body and centriole adjacent to the connecting cilium of photoreceptors and in synapses of the outer plexiform layer. Localizes to the inner scaffold in the central region of centrioles. {ECO:0000250|UniProtKB:Q8BHD1, ECO:0000269|PubMed:32060285, ECO:0000269|PubMed:37934472}.	
Q8TC59	PIWIL2	Piwi-like protein 2 (EC 3.1.26.-) (Cancer/testis antigen 80) (CT80)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q8CDG1}. Note=Present in chromatoid body. Probable component of the meiotic nuage, also named P granule, a germ-cell-specific organelle required to repress transposon activity during meiosis. {ECO:0000250|UniProtKB:Q8CDG1}.	
Q8TC71	SPATA18	Mitochondria-eating protein (Spermatogenesis-associated protein 18)	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:21264228, ECO:0000269|PubMed:22292033, ECO:0000269|PubMed:22532927}. Mitochondrion outer membrane {ECO:0000269|PubMed:21264228, ECO:0000269|PubMed:22292033}. Mitochondrion matrix {ECO:0000269|PubMed:22532927, ECO:0000269|PubMed:38322995}. Note=Localizes to the cytosol under normal conditions (PubMed:21264228, PubMed:22532927). Relocalizes to mitochondrion outer membrane following cellular stress. May form molecular condensates in the mitochondrial matrix (PubMed:38322995). Colocalizes with BNIP3 and BNIP3L at the mitochondrion outer membrane (PubMed:22292033). {ECO:0000269|PubMed:21264228, ECO:0000269|PubMed:22292033, ECO:0000269|PubMed:22532927}.; SUBCELLULAR LOCATION: [Isoform 1]: Cytoplasm, cytosol {ECO:0000269|PubMed:22532927}. Mitochondrion matrix {ECO:0000269|PubMed:22532927}. Note=Appears to predominantly remain in the cytosol following induction of MALM (mitochondrial protein catabolic process). {ECO:0000269|PubMed:22532927}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm, cytosol {ECO:0000269|PubMed:22532927}. Mitochondrion matrix {ECO:0000269|PubMed:22532927}. Note=Appears to predominantly localize to the mitochondrial matrix following induction of MALM (mitochondrial protein catabolic process). {ECO:0000269|PubMed:22532927}.	
Q8TC92	ENOX1	Ecto-NOX disulfide-thiol exchanger 1 (Candidate growth-related and time keeping constitutive hydroquinone [NADH] oxidase) (cCNOX) (Cell proliferation-inducing gene 38 protein) (Constitutive Ecto-NOX) (cNOX) [Includes: Hydroquinone [NADH] oxidase (EC 1.-.-.-); Protein disulfide-thiol oxidoreductase (EC 1.-.-.-)]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:11360993}. Secreted, extracellular space {ECO:0000269|PubMed:11360993}. Note=Extracellular and plasma membrane-associated.	
Q8TCD5	NT5C	5'(3')-deoxyribonucleotidase, cytosolic type (EC 3.1.3.-) (Cytosolic 5',3'-pyrimidine nucleotidase) (Deoxy-5'-nucleotidase 1) (dNT-1)	SUBCELLULAR LOCATION: Cytoplasm.	
Q8TCT9	HM13	Signal peptide peptidase (EC 3.4.23.-) (Intramembrane protease 1) (IMP-1) (IMPAS-1) (hIMP1) (Minor histocompatibility antigen H13) (Presenilin-like protein 3) (Signal peptide peptidase-like 1)	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:15998642}; Multi-pass membrane protein {ECO:0000305}. Membrane {ECO:0000269|PubMed:12077416, ECO:0000269|PubMed:15385547}; Multi-pass membrane protein {ECO:0000305}; Lumenal side {ECO:0000269|PubMed:12077416, ECO:0000269|PubMed:15385547}.; SUBCELLULAR LOCATION: [Isoform 4]: Cell membrane {ECO:0000250|UniProtKB:Q9D8V0}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q9D8V0}.	DOMAIN: The first transmembrane domain may act as a type I signal anchor (PubMed:12077416, PubMed:15385547). The PAL motif is required for normal active site conformation (By similarity). {ECO:0000250|UniProtKB:P49768, ECO:0000269|PubMed:12077416, ECO:0000269|PubMed:15385547}.
Q8TCZ2	CD99L2	CD99 antigen-like protein 2 (MIC2-like protein 1) (CD antigen CD99)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}; Extracellular side {ECO:0000250}. Cell junction {ECO:0000250}. Secreted {ECO:0000269|PubMed:25326458}.	
Q8TD17	ZNF398	Zinc finger protein 398 (Zinc finger DNA-binding protein p52/p71)	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.	
Q8TDM5	SPACA4	Sperm acrosome membrane-associated protein 4 (Sperm acrosomal membrane-associated protein 14)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12788941}; Lipid-anchor, GPI-anchor {ECO:0000269|PubMed:12788941}. Cytoplasmic vesicle, secretory vesicle, acrosome {ECO:0000269|PubMed:12788941}. Cytoplasmic vesicle, secretory vesicle, acrosome inner membrane {ECO:0000269|PubMed:37377732}. Cytoplasmic vesicle, secretory vesicle, acrosome outer membrane {ECO:0000269|PubMed:37377732}. Note=Expressed in acrosomal matrix and outer and inner acrosomal membranes. {ECO:0000269|PubMed:12788941, ECO:0000269|PubMed:37377732}.	
Q8TDN1	KCNG4	Voltage-gated potassium channel regulatory subunit KCNG4 (Potassium voltage-gated channel subfamily G member 4) (Voltage-gated potassium channel subunit Kv6.3) (Voltage-gated potassium channel subunit Kv6.4)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:19074135}; Multi-pass membrane protein {ECO:0000305}. Note=Has to be associated with KCNB1 or possibly another partner to get inserted in the plasma membrane (PubMed:19074135). Colocalizes with KCNB1 at the plasma membrane (PubMed:19074135). Retains in the endoplasmic reticulum in the absence of KCNB1 (PubMed:19074135). {ECO:0000269|PubMed:19074135}.	DOMAIN: The transmembrane segment S4 functions as a voltage-sensor and is characterized by a series of positively charged amino acids at every third position. Channel opening and closing is effected by a conformation change that affects the position and orientation of the voltage-sensor paddle formed by S3 and S4 within the membrane. A transmembrane electric field that is positive inside would push the positively charged S4 segment outwards, thereby opening the pore, while a field that is negative inside would pull the S4 segment inwards and close the pore. Changes in the position and orientation of S4 are then transmitted to the activation gate formed by the inner helix bundle via the S4-S5 linker region. {ECO:0000250|UniProtKB:P63142}.
Q8TDN4	CABLES1	CDK5 and ABL1 enzyme substrate 1 (Interactor with CDK3 1) (Ik3-1)	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Cytoplasm {ECO:0000250}. Note=Located in the cell body and proximal region of the developing axonal shaft of immature neurons. Located in axonal growth cone, but not in the distal part of the axon shaft or in dendritic growth cone of mature neurons (By similarity). {ECO:0000250}.	
Q8TDS4	HCAR2	Hydroxycarboxylic acid receptor 2 (G-protein coupled receptor 109A) (G-protein coupled receptor HM74A) (Niacin receptor 1) (Nicotinic acid receptor)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:17932499}; Multi-pass membrane protein {ECO:0000269|PubMed:17932499}.	
Q8TDT2	GPR152	Probable G-protein coupled receptor 152 (G-protein coupled receptor PGR5)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.	
Q8TF09	DYNLRB2	Dynein light chain roadblock-type 2 (Dynein light chain 2B, cytoplasmic) (Roadblock domain-containing protein 2)	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton.	
Q8TF17	SH3TC2	SH3 domain and tetratricopeptide repeat-containing protein 2		
Q8TF50	ZNF526	Zinc finger protein 526	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.	
Q8TF65	GIPC2	PDZ domain-containing protein GIPC2	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.	
Q8WTS1	ABHD5	1-acylglycerol-3-phosphate O-acyltransferase ABHD5 (EC 2.3.1.51) (Abhydrolase domain-containing protein 5) (Lipid droplet-binding protein CGI-58)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:18832586}. Lipid droplet {ECO:0000250|UniProtKB:Q9DBL9}. Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q9DBL9}. Note=Colocalized with PLIN and ADRP on the surface of lipid droplets. The localization is dependent upon the metabolic status of the adipocytes and the activity of PKA (By similarity). {ECO:0000250}.	DOMAIN: The HXXXXD motif is essential for acyltransferase activity and may constitute the binding site for the phosphate moiety of the glycerol-3-phosphate. {ECO:0000250}.
Q8WU20	FRS2	Fibroblast growth factor receptor substrate 2 (FGFR substrate 2) (FGFR-signaling adaptor SNT) (Suc1-associated neurotrophic factor target 1) (SNT-1)	SUBCELLULAR LOCATION: Endomembrane system. Note=Cytoplasmic, membrane-bound.	
Q8WUM9	SLC20A1	Sodium-dependent phosphate transporter 1 (Gibbon ape leukemia virus receptor 1) (GLVR-1) (Leukemia virus receptor 1 homolog) (Phosphate transporter 1) (PiT-1) (Solute carrier family 20 member 1)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:19726692}; Multi-pass membrane protein {ECO:0000255}.	DOMAIN: Region A confers human cells susceptibility to infection by Gibbon Ape Leukemia Virus (GaLV) and Feline leukemia virus subgroup B (FeLV-B). Substitution of Human SLC20A1 region A by region A of murine SLC20A1 prevents viral infection.
Q8WVD3	RNF138	E3 ubiquitin-protein ligase RNF138 (EC 2.3.2.27) (Nemo-like kinase-associated RING finger protein) (NLK-associated RING finger protein) (hNARF) (RING finger protein 138) (RING-type E3 ubiquitin transferase RNF138)	SUBCELLULAR LOCATION: Chromosome {ECO:0000269|PubMed:26502055, ECO:0000269|PubMed:26502057}. Note=Recruited at DNA damage sites (PubMed:26502055). Localizes to sites of double-strand break: localization to double-strand break sites is mediated by the zinc fingers (PubMed:26502055, PubMed:26502057). {ECO:0000269|PubMed:26502055, ECO:0000269|PubMed:26502057}.	DOMAIN: The zinc finger domains (C2H2-type and C2HC-type zinc fingers) bind DNA and mediate recruitment to double-strand break sites. They show strong preference for DNA with 5'- or 3'-single-stranded overhangs, while they do not bind blunt-ended double-stranded DNA or poly(ADP-ribose) (PAR) polymers. {ECO:0000269|PubMed:26502055}.
Q8WVK2	SNRNP27	U4/U6.U5 small nuclear ribonucleoprotein 27 kDa protein (U4/U6.U5 snRNP 27 kDa protein) (U4/U6.U5-27K) (Nucleic acid-binding protein RY-1) (U4/U6.U5 tri-snRNP-associated 27 kDa protein) (27K) (U4/U6.U5 tri-snRNP-associated protein 3)	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.	
Q8WVM0	TFB1M	Dimethyladenosine transferase 1, mitochondrial (EC 2.1.1.-) (Mitochondrial 12S rRNA dimethylase 1) (Mitochondrial transcription factor B1) (h-mtTFB) (h-mtTFB1) (hTFB1M) (mtTFB1) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase 1)	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:11809803}.	
Q8WVS4	DYNC2I1	Cytoplasmic dynein 2 intermediate chain 1 (Dynein 2 intermediate chain 1) (WD repeat-containing protein 60)	SUBCELLULAR LOCATION: Cell projection, cilium {ECO:0000269|PubMed:23910462}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:25205765}. Note=Located at the base of the primary cilium in serum-starved fibroblasts. {ECO:0000269|PubMed:23910462}.	
Q8WVV9	HNRNPLL	Heterogeneous nuclear ribonucleoprotein L-like (hnRNPLL) (Stromal RNA-regulating factor)		
Q8WW01	TSEN15	tRNA-splicing endonuclease subunit Sen15 (SEN15 homolog) (HsSEN15) (tRNA-intron endonuclease Sen15)	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}. Nucleus, nucleolus {ECO:0000305}. Note=May be transiently localized in the nucleolus. {ECO:0000305}.	
Q8WW24	TEKT4	Tektin-4	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, cilium axoneme {ECO:0000269|PubMed:36191189}. Cytoplasm, cytoskeleton, flagellum axoneme {ECO:0000250|UniProtKB:Q149S1}. Note=Found in the abaxial (convex) surface of outer dense fibers in sperm flagella. {ECO:0000250|UniProtKB:Q149S1}.	
Q8WWF3	SSMEM1	Serine-rich single-pass membrane protein 1	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.	
Q8WWM9	CYGB	Cytoglobin (Histoglobin) (HGb) (Nitric oxygen dioxygenase CYGB) (NOD) (EC 1.14.12.-) (Nitrite reductase CYGB) (EC 1.7.-.-) (Pseudoperoxidase CYGB) (EC 1.11.1.-) (Stellate cell activation-associated protein) (Superoxide dismutase CYGB) (EC 1.15.1.1)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14660570, ECO:0000269|PubMed:34930834}. Nucleus {ECO:0000269|PubMed:14660570}.	
Q8WWP7	GIMAP1	GTPase IMAP family member 1 (Immunity-associated protein 1) (hIMAP1)	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:P70224}; Single-pass type IV membrane protein {ECO:0000305}. Golgi apparatus membrane {ECO:0000250|UniProtKB:P70224}; Single-pass type IV membrane protein {ECO:0000305}.	
Q8WWR8	NEU4	Sialidase-4 (EC 3.2.1.18) (N-acetyl-alpha-neuraminidase 4)	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000269|PubMed:21521691}; Peripheral membrane protein. Endoplasmic reticulum membrane {ECO:0000269|PubMed:15847605}; Peripheral membrane protein. Microsome membrane {ECO:0000269|PubMed:15847605}; Peripheral membrane protein. Mitochondrion membrane {ECO:0000269|PubMed:15847605, ECO:0000269|PubMed:19797320}; Peripheral membrane protein. Cell projection, neuron projection {ECO:0000250|UniProtKB:Q8BZL1}. Note=Predominantly associates with endoplasmic reticulum membranes. Only a small fraction associates with mitochondrial and plasma membranes. {ECO:0000269|PubMed:19797320, ECO:0000269|PubMed:21521691}.; SUBCELLULAR LOCATION: [Isoform 2]: Mitochondrion inner membrane {ECO:0000269|PubMed:15847605}; Peripheral membrane protein. Mitochondrion outer membrane {ECO:0000269|PubMed:15847605, ECO:0000269|PubMed:19797320}; Peripheral membrane protein. Lysosome lumen {ECO:0000269|PubMed:15213228}. Note=According to PubMed:15213228, isoform 2 is soluble, N-glycosylated and found in the lumen of lysosomes. However, no signal sequence nor N-glycosylation site is predicted from the sequence.	
